Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
398,58.0,0.0
398,59.0,0.0
398,60.0,0.0
398,61.0,0.0
398,62.0,0.0
398,63.0,0.0
398,64.0,0.0
398,65.0,0.0
398,66.0,0.0
398,67.0,0.0
398,68.0,0.0
398,69.0,0.0
398,70.0,0.0
398,71.0,0.0
398,72.0,0.0
398,73.0,0.0
398,74.0,0.0
398,75.0,0.0
398,76.0,0.0
398,77.0,0.0
398,78.0,0.0
398,79.0,0.0
398,80.0,0.0
398,81.0,0.0
398,82.0,0.0
398,83.0,0.0
398,84.0,0.0
398,85.0,0.0
398,86.0,0.0
398,87.0,0.0
398,88.0,0.0
398,89.0,0.0
398,90.0,0.0
398,91.0,0.0
398,92.0,0.0
398,93.0,0.0
398,94.0,0.0
398,95.0,0.0
398,96.0,0.0
398,97.0,0.0
398,98.0,0.0
398,99.0,0.0
501,1.77,68.73988029273566
501,2.0,54.21233115491289
501,2.36,37.27568484725004
501,2.7199999999999998,25.58879643704901
501,3.08,17.57183793427851
501,3.44,12.098415909751475
501,3.8,8.37743354877035
501,4.16,5.857565096574154
501,4.52,4.156164267016716
501,4.88,3.0087998972488386
501,5.24,2.233488532870035
501,5.6,1.7057733220754396
501,5.96,1.3414385806844134
501,6.32,1.084100700828382
501,6.68,0.8966094367464131
501,7.04,0.754898216261258
501,7.3999999999999995,0.6436566882930761
501,7.76,0.5533824733981443
501,8.120000000000001,0.47814554166170953
501,8.48,0.41432293549063504
501,8.84,0.35960749230661254
501,9.2,0.3124356924083242
501,9.559999999999999,0.2717070136840889
501,9.92,0.2364649465193973
501,10.28,0.20596791515021373
501,10.64,0.17952840547363705
501,11.0,0.15657658154218498
501,11.36,0.13661297904099376
501,11.719999999999999,0.119214276370605
501,12.08,0.10402793288722195
501,12.44,0.0907566485902223
501,12.799999999999999,0.07915323160261055
501,13.16,0.06899613719883665
501,13.52,0.06011281238784668
501,13.879999999999999,0.052341096539417924
501,14.24,0.045537089862528114
501,14.6,0.03958212044036965
501,14.959999999999999,0.03437117958762282
501,15.32,0.02981348718139417
501,15.68,0.02582891495520764
501,16.04,0.02234491509948696
501,16.4,0.019303346909473915
501,16.759999999999998,0.01664737884678906
501,17.119999999999997,0.014331553953377346
501,17.479999999999997,0.012313913162628894
501,17.84,0.010557693514856064
501,18.2,0.00903067081406576
501,18.56,0.007706146463004397
501,18.919999999999998,0.0065582288845998865
501,19.28,0.005564525989186726
501,19.64,0.004705876869480598
501,20.0,0.0039658967798102416
501,21.0,0.002413931867634614
501,22.0,0.0014143189582507486
501,23.0,0.0007878253501793524
501,24.0,0.0004099397618408447
501,25.0,0.00019399721361863643
501,26.0,7.988005289626698e-05
501,27.0,2.601818286393006e-05
501,28.0,5.3522059929588454e-06
501,29.0,3.3513860896212895e-07
501,30.0,0.0
501,31.0,0.0
501,32.0,0.0
501,33.0,0.0
501,34.0,0.0
501,35.0,0.0
501,36.0,0.0
501,37.0,0.0
501,38.0,0.0
501,39.0,0.0
501,40.0,0.0
501,41.0,0.0
501,42.0,0.0
501,43.0,0.0
501,44.0,0.0
501,45.0,0.0
501,46.0,0.0
501,47.0,0.0
501,48.0,0.0
501,49.0,0.0
501,50.0,0.0
501,51.0,0.0
501,52.0,0.0
501,53.0,0.0
501,54.0,0.0
501,55.0,0.0
501,56.0,0.0
501,57.0,0.0
501,58.0,0.0
501,59.0,0.0
501,60.0,0.0
501,61.0,0.0
501,62.0,0.0
501,63.0,0.0
501,64.0,0.0
501,65.0,0.0
501,66.0,0.0
501,67.0,0.0
501,68.0,0.0
501,69.0,0.0
501,70.0,0.0
501,71.0,0.0
501,72.0,0.0
501,73.0,0.0
501,74.0,0.0
501,75.0,0.0
501,76.0,0.0
501,77.0,0.0
501,78.0,0.0
501,79.0,0.0
501,80.0,0.0
501,81.0,0.0
501,82.0,0.0
501,83.0,0.0
501,84.0,0.0
501,85.0,0.0
501,86.0,0.0
501,87.0,0.0
501,88.0,0.0
501,89.0,0.0
501,90.0,0.0
501,91.0,0.0
501,92.0,0.0
501,93.0,0.0
501,94.0,0.0
501,95.0,0.0
501,96.0,0.0
501,97.0,0.0
501,98.0,0.0
501,99.0,0.0
631,1.77,96.65852931275488
631,2.0,77.82660492265967
631,2.36,55.32873911446227
631,2.7199999999999998,39.29014547436558
631,3.08,27.895732002337507
631,3.44,19.8185765336854
631,3.8,14.10416369214574
631,4.16,10.06961364687908
631,4.52,7.227838118966332
631,4.88,5.230700457514336
631,5.24,3.829944894544891
631,5.6,2.8482432464689094
631,5.96,2.1594831482329884
631,6.32,1.6740929297126095
631,6.68,1.328955821442773
631,7.04,1.0800034543155788
631,7.3999999999999995,0.8965999742797193
631,7.76,0.7578643782216188
631,8.120000000000001,0.6497305966512217
631,8.48,0.562809710977454
631,8.84,0.49099194213189046
631,9.2,0.43032659913375737
