Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
398,60.0,0.0
398,61.0,0.0
398,62.0,0.0
398,63.0,0.0
398,64.0,0.0
398,65.0,0.0
398,66.0,0.0
398,67.0,0.0
398,68.0,0.0
398,69.0,0.0
398,70.0,0.0
398,71.0,0.0
398,72.0,0.0
398,73.0,0.0
398,74.0,0.0
398,75.0,0.0
398,76.0,0.0
398,77.0,0.0
398,78.0,0.0
398,79.0,0.0
398,80.0,0.0
398,81.0,0.0
398,82.0,0.0
398,83.0,0.0
398,84.0,0.0
398,85.0,0.0
398,86.0,0.0
398,87.0,0.0
398,88.0,0.0
398,89.0,0.0
398,90.0,0.0
398,91.0,0.0
398,92.0,0.0
398,93.0,0.0
398,94.0,0.0
398,95.0,0.0
398,96.0,0.0
398,97.0,0.0
398,98.0,0.0
398,99.0,0.0
501,1.77,79.0090251869588
501,2.0,62.02613309144401
501,2.36,42.32516399204842
501,2.7199999999999998,28.82247796748257
501,3.08,19.628853362842595
501,3.44,13.40347648839744
501,3.8,9.209143575452755
501,4.16,6.396059136561156
501,4.52,4.515897758323751
501,4.88,3.26092077818182
501,5.24,2.4210419917078836
501,5.6,1.8539449858504224
501,5.96,1.464420292553021
501,6.32,1.1895748948599534
501,6.68,0.988625486078883
501,7.04,0.8356364245572595
501,7.3999999999999995,0.7144393218778492
501,7.76,0.6152258764733787
501,8.120000000000001,0.53196597025778
501,8.48,0.4610443780368568
501,8.84,0.4001315667589411
501,9.2,0.34760880624054064
501,9.559999999999999,0.3022901149853853
501,9.92,0.26311251947979014
501,10.28,0.22922749151843913
501,10.64,0.1998560365546663
501,11.0,0.1743517539603799
501,11.36,0.15215669595128736
501,11.719999999999999,0.13279959045713538
501,12.08,0.1158972446743269
501,12.44,0.10112184749602102
501,12.799999999999999,0.08820205092024308
501,13.16,0.07689326559994904
501,13.52,0.06700076257326039
501,13.879999999999999,0.05834596954868898
501,14.24,0.05076781487269952
501,14.6,0.04413401176907914
501,14.959999999999999,0.03832802928827224
501,15.32,0.033249062855701374
501,15.68,0.028808332088554683
501,16.04,0.02492500919714428
501,16.4,0.021534829192867644
501,16.759999999999998,0.01857355678672239
501,17.119999999999997,0.015991635526561264
501,17.479999999999997,0.013741674977867643
501,17.84,0.011782962677697151
501,18.2,0.010079867020490518
501,18.56,0.00860201014713328
501,18.919999999999998,0.00732132155068174
501,19.28,0.00621258757220501
501,19.64,0.005254501701311825
501,20.0,0.0044286956897306206
501,21.0,0.002696362640830168
501,22.0,0.0015801611233032655
501,23.0,0.0008804502012980385
501,24.0,0.0004582719115696639
501,25.0,0.00021694842617465339
501,26.0,8.93664995903061e-05
501,27.0,2.9136572272094242e-05
501,28.0,6.000583696028904e-06
501,29.0,3.774159947232671e-07
501,30.0,0.0
501,31.0,0.0
501,32.0,0.0
501,33.0,0.0
501,34.0,0.0
501,35.0,0.0
501,36.0,0.0
501,37.0,0.0
501,38.0,0.0
501,39.0,0.0
501,40.0,0.0
501,41.0,0.0
501,42.0,0.0
501,43.0,0.0
501,44.0,0.0
501,45.0,0.0
501,46.0,0.0
501,47.0,0.0
501,48.0,0.0
501,49.0,0.0
501,50.0,0.0
501,51.0,0.0
501,52.0,0.0
501,53.0,0.0
501,54.0,0.0
501,55.0,0.0
501,56.0,0.0
501,57.0,0.0
501,58.0,0.0
501,59.0,0.0
501,60.0,0.0
501,61.0,0.0
501,62.0,0.0
501,63.0,0.0
501,64.0,0.0
501,65.0,0.0
501,66.0,0.0
501,67.0,0.0
501,68.0,0.0
501,69.0,0.0
501,70.0,0.0
501,71.0,0.0
501,72.0,0.0
501,73.0,0.0
501,74.0,0.0
501,75.0,0.0
501,76.0,0.0
501,77.0,0.0
501,78.0,0.0
501,79.0,0.0
501,80.0,0.0
501,81.0,0.0
501,82.0,0.0
501,83.0,0.0
501,84.0,0.0
501,85.0,0.0
501,86.0,0.0
501,87.0,0.0
501,88.0,0.0
501,89.0,0.0
501,90.0,0.0
501,91.0,0.0
501,92.0,0.0
501,93.0,0.0
501,94.0,0.0
501,95.0,0.0
501,96.0,0.0
501,97.0,0.0
501,98.0,0.0
501,99.0,0.0
631,1.77,112.03091661291768
631,2.0,89.86428900750225
631,2.36,63.486797404640825
631,2.7199999999999998,44.781878407391716
631,3.08,31.570036974584347
631,3.44,22.263816143409446
631,3.8,15.72538350822373
631,4.16,11.143838084302361
631,4.52,7.943053219675421
631,4.88,5.7131851106079425
631,5.24,4.1634345223228095
631,5.6,3.0873524167687876
631,5.96,2.339115325837478
631,6.32,1.8160004902490245
631,6.68,1.446284535305606
631,7.04,1.1804799077091315
631,7.3999999999999995,0.9846076228995712
631,7.76,0.8358576847088393
631,8.120000000000001,0.7191252248806687
631,8.48,0.6245109933702608
631,8.84,0.545700404029976
631,9.2,0.4786835031244944
631,9.559999999999999,0.42084333031099513
631,9.92,0.3705055166458166
631,10.28,0.32652693911473124
631,10.64,0.2879818201436917
631,11.0,0.25418707444901795
631,11.36,0.224545454038658
631,11.719999999999999,0.1985083500353138
631,12.08,0.17560012038928183
631,12.44,0.15542240140671915
631,12.799999999999999,0.13761179244755922
631,13.16,0.12186677525179575
631,13.52,0.1079321203868376
631,13.879999999999999,0.09557622756687606
631,14.24,0.08461784301314786
631,14.6,0.07489611397001401
631,14.959999999999999,0.06626784478025206
631,15.32,0.05861063310362168
631,15.68,0.05181246072856089
631,16.04,0.04577541550546188
631,16.4,0.04041814811869252
631,16.759999999999998,0.035660360367615156
631,17.119999999999997,0.03143711925520221
631,17.479999999999997,0.027688363243990426
631,17.84,0.02436081912145635
631,18.2,0.0214124500700554
631,18.56,0.018797930652604766
631,18.919999999999998,0.016482081486211417
631,19.28,0.014430766274792207
631,19.64,0.012616710867961053
631,20.0,0.011013774745460784
631,21.0,0.00747767104298223
631,22.0,0.004994692313279083
631,23.0,0.0032688090585799717
631,24.0,0.0020856777750502768
631,25.0,0.0012889230011571024
631,26.0,0.0007643211755144552
631,27.0,0.0004292766513129605
631,28.0,0.00022402456653269721
631,29.0,0.00010547128499776899
631,30.0,4.266635268715273e-05
631,31.0,1.3507413686558398e-05
